Simulation Results for Regression Slope Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,b,,,,,,,,,b,,,,,,,,,b,,,,,,,,
n = 10,STANDARD MODEL,,,,,,,,n = 10,CONTAMINATIONS MODEL,,,,,,,,n = 10,OUTLIERS MODEL,,,,,,,,n = 10,MIXTURES MODEL,,,,,,,
Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
LTS,2,0,0,0,1.366,1.997,2.003,1,OLSE,2.038,0,0.038,0.002,1,2.035,2.042,1,Bayesian,2,0,0,0.004,1,1.982,2.017,1,OLSE,2.192,0,0.192,0.041,1,2.175,2.21,1
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
Theils,2,0,0,0,0.162,1.998,2.002,1,Theils,2.009,0,0.009,0,0.353,2.007,2.011,1,Theils,2.003,0,0.003,0,0,1.999,2.008,1,Theils,2.048,0,0.048,0.003,0,2.04,2.057,1
LTS,2,0,0,0,0.474,1.996,2.004,1,LTS,2.01,0,0.01,0,0.643,2.006,2.013,1,LTS,3.40E+06,1.10E+06,3.40E+06,1.90E+17,0,-1.20E+08,1.30E+08,1,LTS,7.50E+10,2.50E+10,7.50E+10,9.10E+25,0,-2.60E+12,2.80E+12,1
OLSE,2,0,0,0,1,1.994,2.006,1,Bayesian,2.006,0,0.006,0,0.993,2.001,2.012,1,OLSE,1.60E+13,8.10E+12,1.60E+13,9.80E+30,1,-8.70E+14,9.10E+14,1,OLSE,3.50E+17,1.80E+17,3.50E+17,4.80E+39,1,-1.90E+19,2.00E+19,1
Bayesian,2,0,0,0,1,1.994,2.006,1,OLSE,2.007,0,0.007,0,1,2.001,2.012,1,Bayesian,1.60E+13,8.10E+12,1.60E+13,9.80E+30,1,-8.70E+14,9.10E+14,1,Bayesian,3.50E+17,1.80E+17,3.50E+17,4.80E+39,1,-1.90E+19,2.00E+19,1
Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,
Theils,2,0,0,0,0,1.995,2.006,1,Theils,2,0,0,0,0,1.995,2.006,1,Theils,2,0,0,0,0,1.995,2.006,1,Theils,2,0,0,0,0,1.995,2.006,1
LTS,2,0,0,0.002,0,1.986,2.014,1,LTS,2,0,0,0.002,0,1.986,2.014,1,LTS,2,0,0,0.002,0,1.986,2.014,1,LTS,2,0,0,0.002,0,1.986,2.014,1
Bayesian,1.884,0.155,-0.116,3.60E+03,1,-15.177,18.944,1,Bayesian,1.884,0.155,-0.116,3.60E+03,1,-15.177,18.944,1,Bayesian,1.884,0.155,-0.116,3.60E+03,1,-15.177,18.944,1,Bayesian,1.884,0.155,-0.116,3.60E+03,1,-15.177,18.944,1
OLSE,1.884,0.155,-0.116,3.60E+03,1,-15.178,18.946,1,OLSE,1.884,0.155,-0.116,3.60E+03,1,-15.178,18.946,1,OLSE,1.884,0.155,-0.116,3.60E+03,1,-15.178,18.946,1,OLSE,1.884,0.155,-0.116,3.60E+03,1,-15.178,18.946,1
n = 100,STANDARD MODEL,,,,,,,,n = 100,CONTAMINATIONS MODEL,,,,,,,,n = 100,OUTLIERS MODEL,,,,,,,,n = 100,MIXTURES MODEL,,,,,,,
Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,b,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,,Normal,,,,,,,,
OLSE,2,0,0,0,1,1.999,2.001,1,OLSE,2.019,0,0.019,0,1,2.018,2.02,1,Theils,2,0,0,0,0.126,1.998,2.002,1,Theils,2.023,0,0.023,0.001,0.059,2.021,2.024,1
Bayesian,2,0,0,0,1,1.999,2.001,1,LTS,2.017,0,0.017,0,0.778,2.016,2.018,1,LTS,2,0,0,0,0.182,1.998,2.002,1,LTS,2.042,0,0.042,0.002,0.21,2.039,2.045,1
Theils,2,0,0,0,1.058,1.999,2.001,1,Theils,2.016,0,0.016,0,0.701,2.015,2.017,1,OLSE,2,0,0,0,1,1.996,2.004,1,OLSE,2.096,0,0.096,0.01,1,2.092,2.1,1
LTS,2,0,0,0,1.359,1.999,2.001,1,Bayesian,2.019,0,0.019,0,0.998,2.018,2.02,1,Bayesian,2,0,0,0,1,1.996,2.004,1,Bayesian,2.096,0,0.096,0.01,1,2.092,2.1,1
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
