Simulation Results for Regression Intercept Parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,a,,,,,,,,,a,,,,,,,,,a,,,,,,,,
n = 10,STANDARD MODEL,,,,,,,,n = 10,CONTAMINATIONS MODEL,,,,,,,,n = 10,OUTLIERS MODEL,,,,,,,,n = 10,MIXTURES MODEL,,,,,,,
Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.,Method,a,MCSE,Bias,MSE,RMSE,LCL,UCL,Cov. Pr.
Theils,4.998,0.002,-0.002,0.481,11.8,4.861,5.136,1,OLSE,4.431,0.001,-0.569,0.369,1,4.389,4.473,1,Theils,4.998,0.002,-0.002,0.585,1.2,4.846,5.15,1,OLSE,2.152,0.002,-2.848,8.578,1,2.016,2.288,1
Bayesian,3.952,0.001,-1.048,1.138,28,3.912,3.992,1,LTS,4.503,0.001,-0.497,0.3,0.814,4.457,4.549,1,Bayesian,3.952,0.002,-1.048,1.571,3.4,3.816,4.089,0.999,Bayesian,1.084,0.002,-3.916,15.807,1.8,0.948,1.221,1
Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,,Lognormal,,,,,,,,
Bayesian,5.585,0.001,0.585,0.53,0.2,5.499,5.671,0.95,Bayesian,5.484,0.001,0.484,0.411,0.159,5.401,5.567,0.967,Theils,6.6,0.003,1.6,3.635,0,6.395,6.806,1,Theils,5.491,0.003,0.491,1.436,0,5.274,5.708,1
LTS,6.135,0.001,1.135,1.384,0.5,6.073,6.196,0.865,LTS,5.989,0.001,0.989,1.055,0.409,5.935,6.044,0.948,LTS,-1.50E+09,1.20E+09,-1.50E+09,2.20E+23,0,-9.50E+10,9.20E+10,0.99,LTS,-3.30E+13,2.70E+13,-3.30E+13,1.10E+32,0,-2.10E+15,2.00E+15,0.988
OLSE,6.649,0.001,1.649,2.91,1,6.563,6.736,0.247,Theils,6.425,0.003,1.425,3.069,1.19,6.223,6.627,1,OLSE,-1.10E+16,1.00E+16,-1.10E+16,1.60E+37,1,-8.10E+17,7.90E+17,0.002,OLSE,-2.50E+20,2.30E+20,-2.50E+20,7.80E+45,1,-1.80E+22,1.70E+22,0
Theils,6.646,0.003,1.646,3.751,1.3,6.444,6.849,1,OLSE,6.549,0.001,1.549,2.578,1,6.466,6.633,0.346,Bayesian,-1.10E+16,1.00E+16,-1.10E+16,1.60E+37,1,-8.10E+17,7.90E+17,0.002,Bayesian,-2.50E+20,2.30E+20,-2.50E+20,7.90E+45,1,-1.80E+22,1.70E+22,0
Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,,Cauchy,,,,,,,,
LTS,4.996,0.003,-0.004,1.458,0,4.757,5.236,0.974,LTS,4.996,0.003,-0.004,1.458,0,4.757,5.236,0.974,LTS,4.996,0.003,-0.004,1.458,0,4.757,5.236,0.974,LTS,4.996,0.003,-0.004,1.458,0,4.757,5.236,0.974
Theils,5.011,0.006,0.011,5.547,0,4.544,5.478,0.999,Theils,5.011,0.006,0.011,5.547,0,4.544,5.478,0.999,Theils,5.011,0.006,0.011,5.547,0,4.544,5.478,0.999,Theils,5.011,0.006,0.011,5.547,0,4.544,5.478,0.999
