Table S3: Empirical Data on GDP (Current) and Population (Total) for the Year 2018 and 2024 (Uncontaminated).,,,,
COUNTRY,GDP(US$) 2024,POPULATION 2024,GDP(US$) 2018,POPULATION 2018
Palau,0,17695,287998352.1,17814
Panama,86523959132,4515577,67316471181,4167860
Papua New Guinea,31800428266,10576502,24109780708,9394513
Paraguay,44458118397,6929153,40225448341,6427382
Peru,2.89E+11,34217848,2.23E+11,31897584
Philippines,4.62E+11,115843670,3.47E+11,109465287
Poland,9.18E+11,36559233,5.95E+11,37974750
Portugal,3.13E+11,10694681,2.42E+11,10283822
Post-demographic dividend,6.28E+13,1128377826,5.06E+13,1111377470
Pre-demographic dividend,1.51E+12,1105951788,1.37E+12,946317177
Puerto Rico (US),1.26E+11,3203295,1.01E+11,3290690
Qatar,2.19E+11,2857822,1.83E+11,2580734
Romania,3.83E+11,19051804,2.42E+11,19473970
Russian Federation,2.17E+12,143533851,1.66E+12,145398106
Rwanda,14251642235,14256567,9637904521,12487996
Samoa,1175749786,218019,878448433.4,207582
San Marino,0,33977,1655353653,34522
Sao Tome and Principe,822154621.1,235536,383717327.8,210187
Saudi Arabia,1.24E+12,35300280,8.87E+11,30196281
Senegal,32808056601,18501984,23116701556,15914498
Serbia,90097765959,6586476,52787520249,6982604
Seychelles,2167239562,121354,1784313927,96762
Sierra Leone,6971127235,8642022,6390514689,7554563
Singapore,5.47E+11,6036860,3.77E+11,5638676
Sint Maarten (Dutch part),1797836666,43350,1259200447,39712
Slovak Republic,1.41E+11,5422069,1.07E+11,5446771
Slovenia,72972015197,2127400,53689067640,2073894
Small states,3.11E+11,20193405,2.30E+11,19084934
Solomon Islands,1583964704,819198,1615473250,709101
"Somalia, Fed. Rep.",11967000000,19009151,7873000000,15452487
South Africa,4.01E+11,64007187,4.05E+11,58613001
South Asia,4.51E+12,1677384532,3.16E+12,1589164714
South Asia (IDA & IBRD),4.51E+12,1677384532,3.16E+12,1589164714
South Sudan,0,11943408,0,10122977
Spain,1.73E+12,48848840,1.43E+12,46782011
Sri Lanka,98963185510,21916000,94450015983,21670000
St. Kitts and Nevis,1122388889,46843,1076548148,47008
St. Lucia,2549062963,179744,2060955556,177017
St. Martin (French part),0,26129,0,36012
St. Vincent and the Grenadines,1157207407,100616,884329629.6,104926
Sub-Saharan Africa,1.98E+12,1291044964,1.80E+12,1109997000
Sub-Saharan Africa (excluding high income),1.83E+12,1158863843,1.71E+12,997236086
Sub-Saharan Africa (IDA & IBRD countries),1.98E+12,1291044964,1.80E+12,1109997000
Sudan,49672435513,50448963,32333780383,44230596
Suriname,4416775112,634431,3996198867,599513
Sweden,6.04E+11,10569709,5.50E+11,10175214
Switzerland,9.37E+11,9005582,7.26E+11,8514329
Syrian Arab Republic,0,24672760,21497782868,19577845
Tajikistan,14204575549,10590927,7764999999,9307333
Tanzania,78844405385,68560157,57003712892,57437145
Thailand,5.27E+11,71668011,5.07E+11,71376079
Timor-Leste,1865608515,1400638,1555988614,1275959
Togo,10651180147,9515236,7029215766,8258778
Tonga,0,104175,493530783,105567
Trinidad and Tobago,25633544529,1368333,23883058083,1359193
Tunisia,51332285657,12277109,42686504460,11765514
Turkiye,1.36E+12,85518661,7.88E+11,81407204
Turkmenistan,51387209872,7494498,40765428571,6655524
Turks and Caicos Islands,1745378000,46535,1314329000,41559
Tuvalu,0,9646,48015259.88,10751
Uganda,53911907086,50015092,32927025620,41565831
Ukraine,1.91E+11,37860221,1.31E+11,45208907
United Arab Emirates,5.52E+11,10986400,4.41E+11,9346701
United Kingdom,3.69E+12,69226000,2.90E+12,66289000
United States,2.88E+13,340110988,2.05E+13,328529577
Upper middle income,3.10E+13,2817912698,2.36E+13,2751574852
Uruguay,80961511074,3386588,65344577416,3394534
Uzbekistan,1.15E+11,36361859,58695899092,32373490
Vanuatu,1117972034,327777,914727908.1,285259
"Venezuela, RB",1.20E+11,28405543,1.02E+11,29807592
Viet Nam,4.76E+11,100987686,3.10E+11,96237319
Virgin Islands (U.S.),0,104377,3923000000,107001
West Bank and Gaza,13711100000,5289152,16276600000,4569087
World,1.11E+14,8141808945,8.71E+13,7697233736
"Yemen, Rep.",0,40583164,21606160663,34085182
Zambia,25303185342,21314956,26311507274,17973569
Zimbabwe,41539411516,16634373,34141666667,15034452
,,,,
"Source:,World Bank. (2026). World development indicators [Data set]. World Bank DataBank. worldbank.org",,,,
